id,category,store,2023-07-30,2023-08-15,2023-08-28,2023-09-09,2023-09-24
70960,LAPTOP,Anhoch,33890.0,33890.0,33890.0,33890.0,33890.0
70961,LAPTOP,Anhoch,33980.0,33980.0,33980.0,33980.0,33980.0
70962,LAPTOP,Anhoch,33980.0,33980.0,33980.0,33980.0,33980.0
70963,LAPTOP,Anhoch,34880.0,34880.0,34980.0,34980.0,34580.0
70965,LAPTOP,Anhoch,34980.0,34980.0,34980.0,34980.0,34980.0
70966,LAPTOP,Anhoch,35680.0,35680.0,35680.0,35680.0,35680.0
70967,LAPTOP,Anhoch,35980.0,35980.0,35980.0,35980.0,35980.0
70968,LAPTOP,Anhoch,35980.0,35980.0,35980.0,35980.0,35980.0
70969,LAPTOP,Anhoch,35980.0,35980.0,35980.0,35980.0,34980.0
70970,LAPTOP,Anhoch,37980.0,37980.0,37980.0,37980.0,37980.0
70971,LAPTOP,Anhoch,37980.0,37980.0,37980.0,36980.0,36980.0
70972,LAPTOP,Anhoch,38880.0,38880.0,38880.0,38880.0,38880.0
70973,LAPTOP,Anhoch,38980.0,38980.0,38980.0,38980.0,38980.0
70974,LAPTOP,Anhoch,38980.0,38980.0,38980.0,38980.0,38980.0
70977,LAPTOP,Anhoch,39980.0,39980.0,39980.0,39980.0,39980.0
70978,LAPTOP,Anhoch,40980.0,40980.0,40980.0,40980.0,40980.0
70979,LAPTOP,Anhoch,40980.0,40980.0,40980.0,40980.0,40980.0
70980,LAPTOP,Anhoch,40980.0,40980.0,40980.0,40980.0,40980.0
70981,LAPTOP,Anhoch,41480.0,41480.0,39980.0,39980.0,41480.0
70982,LAPTOP,Anhoch,41980.0,41980.0,41980.0,41980.0,41980.0
70983,LAPTOP,Anhoch,41980.0,41980.0,41980.0,39980.0,38980.0
70984,LAPTOP,Anhoch,41980.0,41980.0,41980.0,41980.0,41980.0
70985,LAPTOP,Anhoch,41980.0,41980.0,41980.0,41980.0,39980.0
70986,LAPTOP,Anhoch,42580.0,42580.0,42580.0,42580.0,42580.0
70987,LAPTOP,Anhoch,42980.0,42980.0,42980.0,42980.0,42980.0
70988,LAPTOP,Anhoch,42980.0,42980.0,42980.0,42980.0,42980.0
70989,LAPTOP,Anhoch,42980.0,42980.0,42980.0,42980.0,42980.0
70990,LAPTOP,Anhoch,42980.0,42980.0,42980.0,42980.0,42980.0
70991,LAPTOP,Anhoch,42980.0,42980.0,42980.0,42980.0,42980.0
70992,LAPTOP,Anhoch,43880.0,43880.0,43880.0,43880.0,43880.0
70993,LAPTOP,Anhoch,43980.0,43980.0,43980.0,43980.0,43980.0
70994,LAPTOP,Anhoch,43980.0,43980.0,43980.0,43980.0,43980.0
70996,LAPTOP,Anhoch,44980.0,44980.0,44980.0,44980.0,44980.0
70997,LAPTOP,Anhoch,44980.0,44980.0,44980.0,44980.0,44980.0
70998,LAPTOP,Anhoch,44980.0,44980.0,44980.0,44980.0,44980.0
70999,LAPTOP,Anhoch,44980.0,44980.0,44980.0,44980.0,44980.0
71000,LAPTOP,Anhoch,45980.0,45980.0,45980.0,45980.0,45980.0
71001,LAPTOP,Anhoch,45980.0,45980.0,45980.0,45980.0,43980.0
71002,LAPTOP,Anhoch,45980.0,45980.0,45980.0,45980.0,45980.0
71003,LAPTOP,Anhoch,45980.0,45980.0,45980.0,45980.0,45980.0
71004,LAPTOP,Anhoch,45980.0,45980.0,44980.0,44980.0,45980.0
71005,LAPTOP,Anhoch,46980.0,46980.0,46980.0,46980.0,46980.0
71006,LAPTOP,Anhoch,46980.0,46980.0,46980.0,46980.0,46980.0
71007,LAPTOP,Anhoch,46980.0,46980.0,46980.0,46980.0,46980.0
71008,LAPTOP,Anhoch,46980.0,46980.0,46980.0,46980.0,46980.0
71010,LAPTOP,Anhoch,46980.0,46980.0,46980.0,46980.0,46980.0
71011,LAPTOP,Anhoch,47580.0,47580.0,47580.0,47580.0,47580.0
71012,LAPTOP,Anhoch,47980.0,47980.0,47980.0,47980.0,47980.0
71013,LAPTOP,Anhoch,48980.0,48980.0,48980.0,48980.0,48980.0
71014,LAPTOP,Anhoch,48980.0,48980.0,48980.0,48980.0,48980.0
71015,LAPTOP,Anhoch,49880.0,49880.0,49880.0,49880.0,48880.0
71016,LAPTOP,Anhoch,49980.0,49980.0,49980.0,49980.0,49980.0
