name,link,image,regular_price,category,store,date,discount_price
"Notebook Lenovo IP3 6305 4GB/128GB/15.6"" FullHD AG 250N/DOS/ArcticGray",https://www.anhoch.com/product/599271345/notebook-lenovo-ip3-6305-4gb128gb156-fullhd-ag-250ndosarcticgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/ideapad315itl6.jpg,10480,LAPTOP,Anhoch,2023-09-09,
"Notebook Acer Aspire A115-22 3020E 4GB/128GB/15.6"" FullHD/36Wh/NoOS/Silver",https://www.anhoch.com/product/599268598/notebook-acer-aspire-a115-22-3020e-4gb128gb156-fullhd36whnoossilver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/nx.a7pex.001-1.jpg,10580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 6305 8GB/128GB/15.6"" FullHD AG 250N/DOS/ArcticGray",https://www.anhoch.com/product/599271555/notebook-lenovo-ip3-6305-8gb128gb156-fullhd-ag-250ndosarcticgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/ideapad315itl6.jpg,11480,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 3020E 4GB/256GB SSD/Vega3/15.6"" HD LED/DOS/UltraSlim/Grey",https://www.anhoch.com/product/599268488/notebook-lenovo-ip3-3020e-4gb256gb-ssdvega3156-hd-leddosultraslimgrey,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/756137529.lenovo-ideapad-3-81w100d5rm.jpg,11980,LAPTOP,Anhoch,2023-09-09,
"Notebook HP 14 Chromebook N4000/4GB/64GB/14"" FHD/Chrome OS/Mouse/Sleeve",https://www.anhoch.com/product/599872723/notebook-hp-14-chromebook-n40004gb64gb14-fhdchrome-osmousesleeve,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/1g128ua_1.jpg,11980,LAPTOP,Anhoch,2023-09-09,
"Notebook Mediacom SmartBook Edge 15.6 Intel Dual N3350/8GB/M2 SSD Slot/15.6"" FullHD/BT/Silver",https://www.anhoch.com/product/599872559/notebook-mediacom-smartbook-edge-156-intel-dual-n33508gbm2-ssd-slot156-fullhdbtsilver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/msbe150_1.jpg,12580,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 6305 4GB/256GB/15.6"" FullHD IPS/TPM/1.65Kg/DOS/Gray",https://www.anhoch.com/product/599269127/notebook-lenovo-ip3-6305-4gb256gb156-fullhd-ipstpm165kgdosgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/ideapad315itl6.jpg,12980,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 6305 4GB/256GB/15.6"" FullHD AG 250N/DOS/ArcticGray",https://www.anhoch.com/product/599270232/notebook-lenovo-ip3-6305-4gb256gb156-fullhd-ag-250ndosarcticgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/ld0005927658_1-k200.jpg,12980,LAPTOP,Anhoch,2023-09-09,
"Notebook Mediacom SmartBook Edge 13 Intel Dual N3350/4GB/64GB SSD+M2 Slot/13.3"" FHD/BT/Silver/Win10",https://www.anhoch.com/product/599871847/notebook-mediacom-smartbook-edge-13-intel-dual-n33504gb64gb-ssdm2-slot133-fhdbtsilverwin10,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/msbe130_1.jpg,13480,LAPTOP,Anhoch,2023-09-09,
"Notebook Lenovo IP3 3020E 8GB/256GB/15.6"" FullHD AG 250N/DOS/ArcticGray",https://www.anhoch.com/product/599877980/notebook-lenovo-ip3-3020e-8gb256gb156-fullhd-ag-250ndosarcticgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/lenovo-laptop-ryzen-7--8gb--1_1.jpg,13480,LAPTOP,Anhoch,2023-09-09,
