name,link,image,regular_price,discount_price,category,store,date
Лаптоп HP 250 G8 i5-1135G7/8GB/256GB 32M36EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G8-i5-1135G7-8GB-256GB-32M36EA,https://www.neptun.mk/2023/02/27/hp_n.JPG?width=192,35999,22495.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15s-fq5257nia i3-1215U/8GB/256GB 797B1EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15s-fq5257nia-i3-1215U-8GB-256GB-797B1EA,https://www.neptun.mk/2023/10/06/HP1_e2e5ef7e-c5ed-4b7c-aa3f-57292102d36c.JPG?width=192,23999,22499.0,LAPTOP,Neptun,2023-10-11
Лаптоп DELL Vostro 3520 i3-1215U/8GB/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/DELL-Vostro-3520-i3-1215U-8GB-256GB,https://www.neptun.mk/2023/09/28/v3520-1_8e51b362-05d3-4fa3-812e-0e44dc7bc366.jpg?width=192,24999,22499.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 3 A315-24P-R83E R3-7320U/8GB DDR5/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-3-A315-24P-R83E-R3-7320U-8GB-DDR5-512GB,https://www.neptun.mk/2023/03/31/ACER_Aspire_3_A315-24P-R83E.JPG?width=192,28999,22799.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 3 A315-24P-R3GW R3-7320U/8GB DDR5/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-3-A315-24P-R3GW-R3-7320U-8GB-DDR5-512GB,https://www.neptun.mk/2023/04/28/acer_1.JPG?width=192,28999,22799.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15 dw3641nia i5-1135G7/8GB/256GB 600T7EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-i5-1135G7-8GB-256GB-600T7EA,https://www.neptun.mk/2023/02/23/blublu.JPG?width=192,34999,22995.0,LAPTOP,Neptun,2023-10-11
"Lenovo V14 G2 ITL 14"" i3-1115G4/8GB/256GB",https://www.neptun.mk/categories/prenosni_kompjuteri/Lenovo-V14-G2-ITL-14--i3-1115G4-8GB-256GB,https://www.neptun.mk/2023/02/23/black.JPG?width=192,24999,22999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER A315-58-369B i3-1115G4/8GB/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-A315-58-369B-i3-1115G4-8GB-256GB,https://www.neptun.mk/2023/02/27/acer01.JPG?width=192,26999,22999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS Vivobook 15 X1502ZA-BQ312 i3-1215U/8GB/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-Vivobook-15-X1502ZA-BQ312-i3-1215U-8GB-256GB,https://www.neptun.mk/2023/03/14/01.JPG?width=192,27999,22999.0,LAPTOP,Neptun,2023-10-11
Лаптоп LENOVO IdeaPad 3 15IAU7 i3-1215U/8GB/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/NB-LENOVO-IdeaPad-3-15IAU7-i3-1215U-8GB-256GB-82RK008VRM,https://www.neptun.mk/2023/02/27/vcvc.JPG?width=192,27999,22999.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 250 G9 i3-1215U/8GB/512GB 6S7B3EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-250-G9-i3-1215U-8GB-512GB-6S7B3EA,https://www.neptun.mk/2023/04/28/6S7B3EA_2ab2e423-8b5d-4011-8260-2a8f8a926209.JPG?width=192,28999,22999.0,LAPTOP,Neptun,2023-10-11
