name,link,image,regular_price,category,store,date
"Notebook Acer EX215 N5100 8GB/256GB SSD/15.6"" FullHD IPS/GigaLAN/DOS/Black",https://www.anhoch.com/product/599271294/notebook-acer-ex215-n5100-8gb256gb-ssd156-fullhd-ipsgigalandosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/extensa-15-ex215-32-bk_gallery_02.jpg,16480,LAPTOP,Anhoch,2023-10-11
"Notebook Toshiba Dynabook Tecra A30 5205U/4GB/128GB SSD/13.3"" FHD LED/Win10Pro",https://www.anhoch.com/product/599873079/notebook-toshiba-dynabook-tecra-a30-5205u4gb128gb-ssd133-fhd-ledwin10pro,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/psz20u2dm01p.jpg,16580,LAPTOP,Anhoch,2023-10-11
"Notebook HP 250 G8 i3-1005G1 4GB/256GB/15.6"" HD LED/GigaLAN/Type-C/DOS/Black",https://www.anhoch.com/product/599270656/notebook-hp-250-g8-i3-1005g1-4gb256gb156-hd-ledgigalantype-cdosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/2x7t8ea_1.jpg,16580,LAPTOP,Anhoch,2023-10-11
"Notebook HP 15 i3-1115G4 4GB/256GB/15.6"" FullHD/GigaLAN/DOS/DarkGray",https://www.anhoch.com/product/599270579/notebook-hp-15-i3-1115g4-4gb256gb156-fullhdgigalandosdarkgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/d379ff78-saca1300-2.jpg,16980,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 i3-1115G4 4GB/256GB/15.6"" FullHD/DOS/Sand",https://www.anhoch.com/product/599270708/notebook-lenovo-ip3-i3-1115g4-4gb256gb156-fullhddossand,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h800wgrm_1.jpg,17580,LAPTOP,Anhoch,2023-10-11
"Notebook Asus X515JA i3-1005G1/8GB/256GB SSD/15.6"" FHD IPS/BT/NoOS",https://www.anhoch.com/product/599880063/notebook-asus-x515ja-i3-1005g18gb256gb-ssd156-fhd-ipsbtnoos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/90nb0sr1m01jx0_1.jpg,17980,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 i3-1115G4 8GB/256GB/15.6"" FullHD TN/TPM/DOS/Sand",https://www.anhoch.com/product/599271346/notebook-lenovo-ip3-i3-1115g4-8gb256gb156-fullhd-tntpmdossand,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h800wgrm_1.jpg,17980,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 Pentium7505 4GB/256GB/15.6"" FullHD/DOS/UltraSlim/Gray",https://www.anhoch.com/product/599269542/notebook-lenovo-ip3-pentium7505-4gb256gb156-fullhddosultraslimgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/17122021134234ideapad315itl6.jpg,18280,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 Pentium 7505 4GB/256GB SSD/15.6"" FullHD TN AG/DOS",https://www.anhoch.com/product/599269726/notebook-lenovo-ip3-pentium-7505-4gb256gb-ssd156-fullhd-tn-agdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h800wgrm_1.jpg,18280,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 i3-1115G4 4GB/256GB/15.6"" FullHD/1MP Cam/Arctic Gray/DOS",https://www.anhoch.com/product/599270213/notebook-lenovo-ip3-i3-1115g4-4gb256gb156-fullhd1mp-camarctic-graydos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h80073rm_1.jpg,18580,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 Ryzen3 5300U 4GB/256GB SSD/15.6"" FullHD/DOS/UltraSlim/Gray",https://www.anhoch.com/product/599269543/notebook-lenovo-ip3-ryzen3-5300u-4gb256gb-ssd156-fullhddosultraslimgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/lenovoideapad3-15alc6__1__01.jpg,18980,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 Ryzen3 3250U 4GB/256GB SSD/15.6"" FullHD TN AG/DOS/ArcticGray",https://www.anhoch.com/product/599269725/notebook-lenovo-ip3-ryzen3-3250u-4gb256gb-ssd156-fullhd-tn-agdosarcticgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/1202202213141734.jpg,19180,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 i3-1115G4 8GB/256GB/15.6"" FullHD/1MP Cam/Arctic Gray/DOS",https://www.anhoch.com/product/599271379/notebook-lenovo-ip3-i3-1115g4-8gb256gb156-fullhd1mp-camarctic-graydos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h80073rm_1.jpg,19480,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 i3-1115G4 8GB/256GB/15.6"" FullHD/DOS/Sand",https://www.anhoch.com/product/599271380/notebook-lenovo-ip3-i3-1115g4-8gb256gb156-fullhddossand,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h800wgrm_1.jpg,19480,LAPTOP,Anhoch,2023-10-11
"Notebook HP 14 i3-1005G1/4GB/128GB SSD/14"" HD Microedge LED/Win10/Silver",https://www.anhoch.com/product/599869330/notebook-hp-14-i3-1005g14gb128gb-ssd14-hd-microedge-ledwin10silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/8bd79ua.jpg,19980,LAPTOP,Anhoch,2023-10-11
"Notebook Acer Aspire A315 Ryzen3 3250U 12GB/256GB SSD/GigaLAN/15.6"" FullHD IPS/DOS/Black",https://www.anhoch.com/product/599270807/notebook-acer-aspire-a315-ryzen3-3250u-12gb256gb-ssdgigalan156-fullhd-ipsdosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/54981.jpg,19980,LAPTOP,Anhoch,2023-10-11
"Notebook HP 250 G8 i3-1005G1 8GB/256GB/15.6"" HD LED/GigaLAN/Type-C/DOS/Black",https://www.anhoch.com/product/599270897/notebook-hp-250-g8-i3-1005g1-8gb256gb156-hd-ledgigalantype-cdosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/2x7t8ea_1.jpg,19980,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IdeaPad 1 Ryzen3 7320U/8GB/512GB SSD/15.6"" FHD/DOS",https://www.anhoch.com/product/599271256/notebook-lenovo-ideapad-1-ryzen3-7320u8gb512gb-ssd156-fhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82vg006erm.jpg,20480,LAPTOP,Anhoch,2023-10-11
"Notebook HP 15s Ryzen3-5300U 8GB/256GB/GigaLAN/15.6"" FullHD/DOS",https://www.anhoch.com/product/599270578/notebook-hp-15s-ryzen3-5300u-8gb256gbgigalan156-fullhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/81ne5qkme8l._sx355_.jpg,20580,LAPTOP,Anhoch,2023-10-11
"Notebook HP 15s Ryzen3 5300U/8GB/256GB/GigaLAN/15.6"" FullHD/DOS",https://www.anhoch.com/product/599270817/notebook-hp-15s-ryzen3-5300u8gb256gbgigalan156-fullhddos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/48m23ea2-800x800.jpg,20580,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo V15 G4 Ryzen3 7320U/8GB/256GB/15.6"" FHD/Win11/Black",https://www.anhoch.com/product/599879893/notebook-lenovo-v15-g4-ryzen3-7320u8gb256gb156-fhdwin11black,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82yu00unpb_1.jpg,20880,LAPTOP,Anhoch,2023-10-11
"Notebook Acer Aspire A315 Ryzen5 3500U 8GB/256GB SSD/GigaLAN/15.6"" FullHD/DOS/Black",https://www.anhoch.com/product/599270635/notebook-acer-aspire-a315-ryzen5-3500u-8gb256gb-ssdgigalan156-fullhddosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/54981.jpg,20980,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo V15 G2 Ryzen3 5300U 4GB/256GB/15.6"" FullHD TN/GigaLAN/DOS/Black",https://www.anhoch.com/product/599270589/notebook-lenovo-v15-g2-ryzen3-5300u-4gb256gb156-fullhd-tngigalandosblack,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82kb00carm.jpg,20980,LAPTOP,Anhoch,2023-10-11
"Notebook Asus VivoBook 15 X1500EA i3-1115G4/8GB/256GB/15.6"" FHD IPS/Backlit KB/DOS",https://www.anhoch.com/product/599878163/notebook-asus-vivobook-15-x1500ea-i3-1115g48gb256gb156-fhd-ipsbacklit-kbdos,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/asus_x1500ea_black_4_ea24afa4.jpg,20980,LAPTOP,Anhoch,2023-10-11
"Notebook HP 250 G9 i3-1215U 8GB/256GB/15.6"" FHD AG/Intel UHD/GigaLAN/Type-C/DOS/Dark Silver",https://www.anhoch.com/product/599270995/notebook-hp-250-g9-i3-1215u-8gb256gb156-fhd-agintel-uhdgigalantype-cdosdark-silver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/hp250g9.jpg,21180,LAPTOP,Anhoch,2023-10-11
"Notebook HP 250 G9 i3-1215U 8GB/256GB/15.6"" FHD AG/Iris XE/GigaLAN/Type-C/DOS/Silver",https://www.anhoch.com/product/599271162/notebook-hp-250-g9-i3-1215u-8gb256gb156-fhd-agiris-xegigalantype-cdossilver,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/6f1z7ea.jpg,21180,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 i3-1115G4 8GB/512GB/15.6"" FullHD/DOS/Blue",https://www.anhoch.com/product/599271232/notebook-lenovo-ip3-i3-1115g4-8gb512gb156-fullhddosblue,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/82h900sbrm.jpg,21580,LAPTOP,Anhoch,2023-10-11
"Notebook Lenovo IP3 Ryzen3 5300U 8GB/256GB SSD/15.6"" FullHD/DOS/UltraSlim/Gray",https://www.anhoch.com/product/599269544/notebook-lenovo-ip3-ryzen3-5300u-8gb256gb-ssd156-fullhddosultraslimgray,https://d1a68gwbwfmqto.cloudfront.net/img/products/full/thumbs/16122021155425lenovoideapad3-15alc6__1__01.jpg,21980,LAPTOP,Anhoch,2023-10-11
