name,link,image,regular_price,discount_price,category,store,date
Midea MFAU-12HRFNX-QRD0W(GA) / MOX230-12HFN8-QRD0W(GA),https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=30899&limit=100,https://setec.mk/image/cache/catalog/Product/30899_0-228x228.jpg,60999,55509,AC,Setec,2023-10-11
SAMSUNG LUZON серија,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=73274&limit=100,https://setec.mk/image/cache/catalog/Product/73274_0-228x228.jpg,62499,56249,AC,Setec,2023-10-11
Hisense Wings Pro KB70BT1EG / KB70BT1EW,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=74563&limit=100,https://setec.mk/image/cache/catalog/Product/74563_0-228x228.jpg,64999,59219,AC,Setec,2023-10-11
Haier Tundra PLUS SMART 1U68REMFRA / AS68TEDHRA-CL,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=73909&limit=100,https://setec.mk/image/cache/catalog/Product/73909_0-228x228.jpg,69999,59399,AC,Setec,2023-10-11
Midea GAIA MSCA1BU-12HRFN8-QRD6GW / MOX230-12HFN8-QRD6GW,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=76186&limit=100,https://setec.mk/image/cache/catalog/Product/76186_0-228x228.jpg,79999,59999,AC,Setec,2023-10-11
Midea Extreme Save AG Nordic series MSAGDU-24HRFN8-QRD0GW / MOX401-24HFN8-QRD0GW,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=75585&limit=100,https://setec.mk/image/cache/catalog/Product/75585_0-228x228.jpg,69999,61999,AC,Setec,2023-10-11
Midea Extreme Save AG Nordic + AIR PURIFIER UV VIRUS STERILIZATION HEPA series MSAGDU-24HRFN8-QRD0GW,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=74989&limit=100,https://setec.mk/image/cache/catalog/Product/74989_0-228x228.jpg,69999,62999,AC,Setec,2023-10-11
Midea FOREST SILVER Mirror Nordic + SMART MSAFDU-24HRFNX-QRD0GW-B / MOX431-24HFN8-QRD0GW,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=74976&limit=100,https://setec.mk/image/cache/catalog/Product/74976_0-228x228.jpg,71999,62999,AC,Setec,2023-10-11
Midea OASIS PLUS,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=75872&limit=100,https://setec.mk/image/cache/catalog/Product/75872_0-228x228.jpg,79999,62999,AC,Setec,2023-10-11
SAMSUNG CEBU серија,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=73275&limit=100,https://setec.mk/image/cache/catalog/Product/73275_0-228x228.jpg,70999,63899,AC,Setec,2023-10-11
Midea Extreme Save PRO Nordic + AIR PURIFIER UV VIRUS STERILIZATION HEPA series + KIT,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=74969&limit=100,https://setec.mk/image/cache/catalog/Product/74969_0-228x228.jpg,70999,63999,AC,Setec,2023-10-11
Midea FOREST SILVER Mirror Nordic SMART + KIT,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=76621&limit=100,https://setec.mk/image/cache/catalog/Product/76621_0-228x228.jpg,72999,63999,AC,Setec,2023-10-11
PANASONIC CS-FZ60UKE / CU-FZ60UKE,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=60489&limit=100,https://setec.mk/image/cache/catalog/Product/60489_0-228x228.jpg,71999,65999,AC,Setec,2023-10-11
SAMSUNG WIND FREE COMFORT серија,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=73370&limit=100,https://setec.mk/image/cache/catalog/Product/73370_0-228x228.jpg,78999,71099,AC,Setec,2023-10-11
SAMSUNG WIND FREE ELITE серија,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=74475&limit=100,https://setec.mk/image/cache/catalog/Product/74475_0-228x228.jpg,78999,71099,AC,Setec,2023-10-11
Midea MFAU-16HRFN8-QRD0W(GA) / MOX330U-18HFN8-QRD0W(GA),https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=30818&limit=100,https://setec.mk/image/cache/catalog/Product/30818_0-228x228.jpg,78999,71889,AC,Setec,2023-10-11
SAMSUNG LUZON серија,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=73396&limit=100,https://setec.mk/image/cache/catalog/Product/73396_0-228x228.jpg,82999,74699,AC,Setec,2023-10-11
SAMSUNG WIND FREE AVANT серија,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=73277&limit=100,https://setec.mk/image/cache/catalog/Product/73277_0-228x228.jpg,99999,89999,AC,Setec,2023-10-11
SAMSUNG WIND FREE COMFORT серија AR24TXFCAWKNEU / AR24TXFCAWKXEU,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=74670&limit=100,https://setec.mk/image/cache/catalog/Product/74670_0-228x228.jpg,105999,95399,AC,Setec,2023-10-11
Midea MFJ-48ARN1-R / MOU-48HN1-R,https://setec.mk/index.php?route=product/product&path=10169_10170&product_id=75557&limit=100,https://setec.mk/image/cache/catalog/Product/75557_0-228x228.jpg,119999,99999,AC,Setec,2023-10-11
ST CRF-24YB,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73897&limit=100,https://setec.mk/image/cache/catalog/Product/73897_0-228x228.jpg,3999,3289,FRIDGE,Setec,2023-10-11
MIDEA MDRD86FGF01 (HS-65LN),https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=72394&limit=100,https://setec.mk/image/cache/catalog/Product/72394_0-228x228.jpg,7999,6899,FRIDGE,Setec,2023-10-11
ST RF-85WH,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=77135&limit=100,https://setec.mk/image/cache/catalog/Product/77135_0-228x228.jpg,8999,7049,FRIDGE,Setec,2023-10-11
MIDEA MDRD86FGF42 (HS-65LN SILVER),https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=72395&limit=100,https://setec.mk/image/cache/catalog/Product/72395_0-228x228.jpg,8499,7279,FRIDGE,Setec,2023-10-11
TELEFUNKEN TF 1002W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=69776&limit=100,https://setec.mk/image/cache/catalog/Product/69776_0-228x228.jpg,9999,8639,FRIDGE,Setec,2023-10-11
TELEFUNKEN TF 1101W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=69892&limit=100,https://setec.mk/image/cache/catalog/Product/69892_0-228x228.jpg,9999,8929,FRIDGE,Setec,2023-10-11
TELEFUNKEN TF 1002S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76252&limit=100,https://setec.mk/image/cache/catalog/Product/76252_0-228x228.jpg,10999,9219,FRIDGE,Setec,2023-10-11
TELEFUNKEN TF 1101S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74958&limit=100,https://setec.mk/image/cache/catalog/Product/74958_0-228x228.jpg,10999,9599,FRIDGE,Setec,2023-10-11
ST RF-263WH,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=77049&limit=100,https://setec.mk/image/cache/catalog/Product/77049_0-228x228.jpg,12999,9999,FRIDGE,Setec,2023-10-11
MIDEA MDRT294FGF01,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76767&limit=100,https://setec.mk/image/cache/catalog/Product/76767_0-228x228.jpg,14999,11879,FRIDGE,Setec,2023-10-11
ST RF-263BH,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=77319&limit=100,,13999,11959,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR263W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=71787&limit=100,https://setec.mk/image/cache/catalog/Product/71787_0-228x228.jpg,13999,11999,FRIDGE,Setec,2023-10-11
ST RF-263SH,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76985&limit=100,https://setec.mk/image/cache/catalog/Product/76985_0-228x228.jpg,13999,12219,FRIDGE,Setec,2023-10-11
MIDEA HS306LN,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=72580&limit=100,https://setec.mk/image/cache/catalog/Product/72580_0-228x228.jpg,13999,12379,FRIDGE,Setec,2023-10-11
INDESIT I55TM 4110 W 1,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=75682&limit=100,https://setec.mk/image/cache/catalog/Product/75682_0-228x228.jpg,16999,12869,FRIDGE,Setec,2023-10-11
MIDEA HS306LN SILVER,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=72581&limit=100,https://setec.mk/image/cache/catalog/Product/72581_0-228x228.jpg,14999,12869,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR263S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73449&limit=100,https://setec.mk/image/cache/catalog/Product/73449_0-228x228.jpg,14999,12959,FRIDGE,Setec,2023-10-11
TELEFUNKEN TLR265W2,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74495&limit=100,https://setec.mk/image/cache/catalog/Product/74495_0-228x228.jpg,14999,13439,FRIDGE,Setec,2023-10-11
Gorenje RF 4141 PW4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73365&limit=100,https://setec.mk/image/cache/catalog/Product/73365_0-228x228.jpg,16999,13579,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 283W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=71789&limit=100,https://setec.mk/image/cache/catalog/Product/71789_0-228x228.jpg,15499,13719,FRIDGE,Setec,2023-10-11
TELEFUNKEN TLR265S2,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74496&limit=100,https://setec.mk/image/cache/catalog/Product/74496_0-228x228.jpg,15999,14399,FRIDGE,Setec,2023-10-11
Gorenje RF 4141 PS4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73406&limit=100,https://setec.mk/image/cache/catalog/Product/73406_0-228x228.jpg,17999,14549,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 278W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=71792&limit=100,https://setec.mk/image/cache/catalog/Product/71792_0-228x228.jpg,17999,14549,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 283S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=71791&limit=100,https://setec.mk/image/cache/catalog/Product/71791_0-228x228.jpg,16499,15039,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 278S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=71793&limit=100,https://setec.mk/image/cache/catalog/Product/71793_0-228x228.jpg,18999,15839,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 287W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73296&limit=100,https://setec.mk/image/cache/catalog/Product/73296_0-228x228.jpg,21999,16009,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 278B,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=75811&limit=100,https://setec.mk/image/cache/catalog/Product/75811_0-228x228.jpg,19499,16129,FRIDGE,Setec,2023-10-11
ST SLR-300WKH GLASS,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=71939&limit=100,https://setec.mk/image/cache/catalog/Product/71939_0-228x228.jpg,19999,16919,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 287S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73123&limit=100,https://setec.mk/image/cache/catalog/Product/73123_0-228x228.jpg,22999,16979,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR346W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=80025&limit=100,https://setec.mk/image/cache/catalog/Product/80025_0-228x228.jpg,18999,17459,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR346S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=80031&limit=100,https://setec.mk/image/cache/catalog/Product/80031_0-228x228.jpg,19999,17949,FRIDGE,Setec,2023-10-11
Gorenje R 615 F EW5,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76125&limit=100,https://setec.mk/image/cache/catalog/Product/76125_0-228x228.jpg,19999,18429,FRIDGE,Setec,2023-10-11
CANDY CWC 154 EEL / N,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76706&limit=100,https://setec.mk/image/cache/catalog/Product/76706_0-228x228.jpg,24999,18809,FRIDGE,Setec,2023-10-11
Gorenje RK4181PW4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76780&limit=100,https://setec.mk/image/cache/catalog/Product/76780_0-228x228.jpg,21999,19199,FRIDGE,Setec,2023-10-11
Gorenje RB615FEW5,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76443&limit=100,https://setec.mk/image/cache/catalog/Product/76443_0-228x228.jpg,21999,19399,FRIDGE,Setec,2023-10-11
Gorenje RK4181PS4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76781&limit=100,https://setec.mk/image/cache/catalog/Product/76781_0-228x228.jpg,22999,20159,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 374W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76085&limit=100,https://setec.mk/image/cache/catalog/Product/76085_0-228x228.jpg,23999,20579,FRIDGE,Setec,2023-10-11
Gorenje RK 6192 EW4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76142&limit=100,https://setec.mk/image/cache/catalog/Product/76142_0-228x228.jpg,22490,21819,FRIDGE,Setec,2023-10-11
WHIRLPOOL W5 811E W 1,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74494&limit=100,https://setec.mk/image/cache/catalog/Product/74494_0-228x228.jpg,28999,21999,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 374S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76086&limit=100,https://setec.mk/image/cache/catalog/Product/76086_0-228x228.jpg,24999,22309,FRIDGE,Setec,2023-10-11
TELEFUNKEN TLR376W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74877&limit=100,https://setec.mk/image/cache/catalog/Product/74877_0-228x228.jpg,24999,22309,FRIDGE,Setec,2023-10-11
Gorenje RK6191ES4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73387&limit=100,https://setec.mk/image/cache/catalog/Product/73387_0-228x228.jpg,23490,22539,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 379W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76087&limit=100,https://setec.mk/image/cache/catalog/Product/76087_0-228x228.jpg,25999,23279,FRIDGE,Setec,2023-10-11
WHIRLPOOL W5 811E OX 1,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74313&limit=100,https://setec.mk/image/cache/catalog/Product/74313_0-228x228.jpg,30999,23759,FRIDGE,Setec,2023-10-11
INDESIT INFC8 TI21W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74283&limit=100,https://setec.mk/image/cache/catalog/Product/74283_0-228x228.jpg,33999,23999,FRIDGE,Setec,2023-10-11
MIDEA MDRB424FGF01I,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76073&limit=100,https://setec.mk/image/cache/catalog/Product/76073_0-228x228.jpg,31999,23999,FRIDGE,Setec,2023-10-11
MIDEA MDRB424FGF02,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74087&limit=100,https://setec.mk/image/cache/catalog/Product/74087_0-228x228.jpg,32999,23999,FRIDGE,Setec,2023-10-11
WHIRLPOOL W5 911E W 1,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74853&limit=100,https://setec.mk/image/cache/catalog/Product/74853_0-228x228.jpg,30999,23999,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 379B,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76090&limit=100,https://setec.mk/image/cache/catalog/Product/76090_0-228x228.jpg,26999,24249,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 379S,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76088&limit=100,https://setec.mk/image/cache/catalog/Product/76088_0-228x228.jpg,26999,24249,FRIDGE,Setec,2023-10-11
Gorenje NRK 6191 EW4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73371&limit=100,https://setec.mk/image/cache/catalog/Product/73371_0-228x228.jpg,27999,24259,FRIDGE,Setec,2023-10-11
Gorenje N61EA2W4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=75810&limit=100,https://setec.mk/image/cache/catalog/Product/75810_0-228x228.jpg,32999,24989,FRIDGE,Setec,2023-10-11
CANDY CCE3T618FW,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76291&limit=100,https://setec.mk/image/cache/catalog/Product/76291_0-228x228.jpg,29999,25219,FRIDGE,Setec,2023-10-11
Gorenje NRK 6191 ES4,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=73393&limit=100,https://setec.mk/image/cache/catalog/Product/73393_0-228x228.jpg,28999,25739,FRIDGE,Setec,2023-10-11
HOTPOINT ARISTON HAFC8 TO21SX,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74277&limit=100,https://setec.mk/image/cache/catalog/Product/74277_0-228x228.jpg,31999,25999,FRIDGE,Setec,2023-10-11
MIDEA MDRB424FGF02O,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74088&limit=100,https://setec.mk/image/cache/catalog/Product/74088_0-228x228.jpg,33999,25999,FRIDGE,Setec,2023-10-11
WHIRLPOOL W7X 81I W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=75933&limit=100,https://setec.mk/image/cache/catalog/Product/75933_0-228x228.jpg,34999,25999,FRIDGE,Setec,2023-10-11
CANDY CCE3T618FB,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76292&limit=100,https://setec.mk/image/cache/catalog/Product/76292_0-228x228.jpg,30999,26189,FRIDGE,Setec,2023-10-11
CANDY CCE3T618FS,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76395&limit=100,https://setec.mk/image/cache/catalog/Product/76395_0-228x228.jpg,30999,26189,FRIDGE,Setec,2023-10-11
WHIRLPOOL W5 911E OX 1,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74854&limit=100,https://setec.mk/image/cache/catalog/Product/74854_0-228x228.jpg,32999,26189,FRIDGE,Setec,2023-10-11
Gorenje R619FEW5,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=75911&limit=100,https://setec.mk/image/cache/catalog/Product/75911_0-228x228.jpg,28999,26729,FRIDGE,Setec,2023-10-11
CANDY CCE7T618EX,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76293&limit=100,https://setec.mk/image/cache/catalog/Product/76293_0-228x228.jpg,28999,26879,FRIDGE,Setec,2023-10-11
WHIRLPOOL W7X 81I OX,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=75905&limit=100,https://setec.mk/image/cache/catalog/Product/75905_0-228x228.jpg,36999,26999,FRIDGE,Setec,2023-10-11
TELEFUNKEN TFR 379SLCD,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=76089&limit=100,https://setec.mk/image/cache/catalog/Product/76089_0-228x228.jpg,29999,27159,FRIDGE,Setec,2023-10-11
WHIRLPOOL PROFESSIONAL ADN140 W,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=75444&limit=100,https://setec.mk/image/cache/catalog/Product/75444_0-228x228.jpg,32999,27599,FRIDGE,Setec,2023-10-11
WHIRLPOOL W7X 81O OX,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=75906&limit=100,https://setec.mk/image/cache/catalog/Product/75906_0-228x228.jpg,38999,27719,FRIDGE,Setec,2023-10-11
HOTPOINT ARISTON HAFC8 TO32SX,https://setec.mk/index.php?route=product/product&path=10090_10096&product_id=74472&limit=100,https://setec.mk/image/cache/catalog/Product/74472_0-228x228.jpg,33999,27999,FRIDGE,Setec,2023-10-11
