name,link,image,regular_price,category,store,date
Favorit CF 278N Комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-CF-278N-%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000525583,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525583_1.image,16999,FRIDGE,EKupi,2023-10-11
Favorit L 2653N Фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-L-2653N-%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000525632,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525632_1.image,12869,FRIDGE,EKupi,2023-10-11
Favorit L 1002N Фрижидер во висина на работна плоча,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-L-1002N-%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80-%D0%B2%D0%BE-%D0%B2%D0%B8%D1%81%D0%B8%D0%BD%D0%B0-%D0%BD%D0%B0-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BD%D0%B0-%D0%BF%D0%BB%D0%BE%D1%87%D0%B0/p/EK000525624,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525624_1.image,7920,FRIDGE,EKupi,2023-10-11
VOX KS3270F Фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/VOX-KS3270F-%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000546916,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000546916_1.image,18899,FRIDGE,EKupi,2023-10-11
VOX KS1100F Комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/VOX-KS1100F-%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000546896,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000546896_1.image,8999,FRIDGE,EKupi,2023-10-11
Favorit L 2653N S Фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-L-2653N-S-%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000525620,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525620_1.image,14129,FRIDGE,EKupi,2023-10-11
Favorit R 1001N Комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-R-1001N-%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000525576,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525576_1.image,8990,FRIDGE,EKupi,2023-10-11
VOX NF3830IXF Комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/VOX-NF3830IXF-%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000546898,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000546898_1.image,28979,FRIDGE,EKupi,2023-10-11
Favorit UCF 2764N Комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-UCF-2764N-%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000525639,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525639_1.image,21999,FRIDGE,EKupi,2023-10-11
Favorit CF 278N S Комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-CF-278N-S-%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000525602,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525602_1.image,17499,FRIDGE,EKupi,2023-10-11
Favorit RF 263N S Комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-RF-263N-S-%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000525643,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525643_1.image,13999,FRIDGE,EKupi,2023-10-11
Favorit RF 263N Комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Favorit-RF-263N-%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000525630,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000525630_1.image,12999,FRIDGE,EKupi,2023-10-11
Samsung RB34T672FWW / EK комбиниран фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Samsung-RB34T672FWW-EK-%D0%BA%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000429176,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000429176_1.image,29990,FRIDGE,EKupi,2023-10-11
Tesla RB5210FHX Side by side Фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Tesla-RB5210FHX-Side-by-side-%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000523291,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000523291_1.image,51390,FRIDGE,EKupi,2023-10-11
Tesla RS0903M1 93L Фрижидер во висина на работна плоча,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Tesla-RS0903M1-93L-%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80-%D0%B2%D0%BE-%D0%B2%D0%B8%D1%81%D0%B8%D0%BD%D0%B0-%D0%BD%D0%B0-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BD%D0%B0-%D0%BF%D0%BB%D0%BE%D1%87%D0%B0/p/EK000523292,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000523292_1.image,11190,FRIDGE,EKupi,2023-10-11
Candy C1DV145SFW фрижидер,/mk/%D0%90%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%9C%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE/%D0%91%D0%B5%D0%BB%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0/%D0%A4%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80%D0%B8/Candy-C1DV145SFW-%D1%84%D1%80%D0%B8%D0%B6%D0%B8%D0%B4%D0%B5%D1%80/p/EK000530492,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000530492_1.image,18999,FRIDGE,EKupi,2023-10-11
